NEW_TYPE,大类,中类,小类,tag,Wayz-CategoryID
100000,住宿服务,住宿服务相关,住宿服务相关,,10000
100100,住宿服务,宾馆酒店,宾馆酒店,经济连锁,10100
100101,住宿服务,宾馆酒店,奢华酒店,商务酒店,10101
100102,住宿服务,宾馆酒店,五星级宾馆,五星级|商务酒店,10101
100103,住宿服务,宾馆酒店,四星级宾馆,四星级|商务酒店,10102
100104,住宿服务,宾馆酒店,三星级宾馆,三星级|商务酒店,10103
100105,住宿服务,宾馆酒店,经济型连锁酒店,经济连锁,10103
,,,,,10104
100200,住宿服务,旅馆招待所,旅馆招待所,客栈,10105
100201,住宿服务,旅馆招待所,青年旅舍,公寓型,10106
,,,,,10107
120300,商务住宅,住宅区,住宅区,,10200
120301,商务住宅,住宅区,别墅,,10201
120302,商务住宅,住宅区,住宅小区,,10202
120303,商务住宅,住宅区,宿舍,,10203
,,,,,20000
120100,商务住宅,产业园区,产业园区,,20100
120200,商务住宅,楼宇,楼宇相关,,20200
120201,商务住宅,楼宇,商务写字楼,,20201
120203,商务住宅,楼宇,商住两用楼宇,,20202
120202,商务住宅,楼宇,工业大厦建筑物,,20203
170300,公司企业,工厂,工厂,,20500
,,,,,20600
170000,公司企业,公司企业,公司企业,,20700
170100,公司企业,知名企业,知名企业,知名企业,20700
170200,公司企业,公司,公司,,20700
170201,公司企业,公司,广告装饰,,20701
170202,公司企业,公司,建筑公司,,20702
170203,公司企业,公司,医药公司,,20703
170204,公司企业,公司,机械电子,,20704
170205,公司企业,公司,冶金化工,,20705
170206,公司企业,公司,网络科技,,20706
170207,公司企业,公司,商业贸易,,20707
170208,公司企业,公司,电信公司,知名企业,20708
170209,公司企业,公司,矿产公司,,20709
,,,,,20710
160500,金融保险服务,证券公司,证券公司,,20711
160600,金融保险服务,财务公司,财务公司,,20712
170400,公司企业,农林牧渔基地,其它农林牧渔基地,,20800
170401,公司企业,农林牧渔基地,渔场,,20801
170402,公司企业,农林牧渔基地,农场,,20802
170403,公司企业,农林牧渔基地,林场,,20803
170404,公司企业,农林牧渔基地,牧场,,20804
170405,公司企业,农林牧渔基地,家禽养殖基地,,20805
170406,公司企业,农林牧渔基地,蔬菜基地,,20806
170407,公司企业,农林牧渔基地,水果基地,,20807
170408,公司企业,农林牧渔基地,花卉苗圃基地,,20808
50000,餐饮服务,餐饮相关场所,餐饮相关,,30000
50400,餐饮服务,休闲餐饮场所,休闲餐饮场所,,30000
,,,,,30100
50100,餐饮服务,中餐厅,中餐厅,,30101
50101,餐饮服务,中餐厅,综合酒楼,特色菜,30101
50102,餐饮服务,中餐厅,四川菜(川菜),川菜,30101
50103,餐饮服务,中餐厅,广东菜(粤菜),潮粤菜,30101
50104,餐饮服务,中餐厅,山东菜(鲁菜),鲁菜,30101
50105,餐饮服务,中餐厅,江苏菜,江浙菜,30101
50106,餐饮服务,中餐厅,浙江菜,江浙菜,30101
50107,餐饮服务,中餐厅,上海菜,上海菜,30101
50108,餐饮服务,中餐厅,湖南菜(湘菜),湖南菜,30101
50109,餐饮服务,中餐厅,安徽菜(徽菜),徽菜,30101
50110,餐饮服务,中餐厅,福建菜,福建菜,30101
50111,餐饮服务,中餐厅,北京菜,京菜,30101
50112,餐饮服务,中餐厅,湖北菜(鄂菜),湖北菜,30101
50113,餐饮服务,中餐厅,东北菜,东北菜,30101
50114,餐饮服务,中餐厅,云贵菜,云贵菜,30101
50115,餐饮服务,中餐厅,西北菜,西北菜,30101
50116,餐饮服务,中餐厅,老字号,特色菜,30101
50117,餐饮服务,中餐厅,火锅店,特色菜|小资,30101
50118,餐饮服务,中餐厅,特色/地方风味餐厅,特色菜,30101
50119,餐饮服务,中餐厅,海鲜酒楼,特色菜,30101
50120,餐饮服务,中餐厅,中式素菜馆,特色菜,30101
50121,餐饮服务,中餐厅,清真菜馆,清真菜,30101
50122,餐饮服务,中餐厅,台湾菜,台湾菜,30101
50123,餐饮服务,中餐厅,潮州菜,潮粤菜,30101
50200,餐饮服务,外国餐厅,外国餐厅,特色菜,30102
50201,餐饮服务,外国餐厅,西餐厅(综合风味),|特色菜,30102
50202,餐饮服务,外国餐厅,日本料理,日本菜|贵|商务|现代,30102
50203,餐饮服务,外国餐厅,韩国料理,韩国菜|现代,30102
50204,餐饮服务,外国餐厅,法式菜品餐厅,法国菜|贵|商务|现代,30102
50205,餐饮服务,外国餐厅,意式菜品餐厅,意大利菜|贵|商务|现代,30102
50206,餐饮服务,外国餐厅,泰国/越南菜品餐厅,东南亚菜,30102
50207,餐饮服务,外国餐厅,地中海风格菜品,意大利菜|商务|现代,30102
50208,餐饮服务,外国餐厅,美式风味,美式菜|现代,30102
50209,餐饮服务,外国餐厅,印度风味,印度菜|特色菜,30102
50210,餐饮服务,外国餐厅,英国式菜品餐厅,现代|贵,30102
50211,餐饮服务,外国餐厅,牛扒店(扒房),现代|贵,30102
50212,餐饮服务,外国餐厅,俄国菜,俄罗斯菜|商务|现代,30102
50213,餐饮服务,外国餐厅,葡国菜,葡国菜|贵|现代,30102
50214,餐饮服务,外国餐厅,德国菜,创意菜,30102
50215,餐饮服务,外国餐厅,巴西菜,巴西菜|贵|现代,30102
50216,餐饮服务,外国餐厅,墨西哥菜,墨西哥菜|贵|现代,30102
50217,餐饮服务,外国餐厅,其它亚洲菜,东南亚菜,30102
50300,餐饮服务,快餐厅,快餐厅,现代|普通消费,30200
50301,餐饮服务,快餐厅,肯德基,现代|普通消费,30200
50302,餐饮服务,快餐厅,麦当劳,现代|普通消费,30200
50303,餐饮服务,快餐厅,必胜客,现代|普通消费,30200
50304,餐饮服务,快餐厅,永和豆浆,现代|普通消费,30200
50305,餐饮服务,快餐厅,茶餐厅,现代|普通消费,30200
50306,餐饮服务,快餐厅,大家乐,现代|普通消费,30200
50307,餐饮服务,快餐厅,大快活,现代|普通消费,30200
50308,餐饮服务,快餐厅,美心,现代|普通消费,30200
50309,餐饮服务,快餐厅,吉野家,特色菜|普通消费,30200
50310,餐饮服务,快餐厅,仙跡岩,特色菜|普通消费,30200
50311,餐饮服务,快餐厅,呷哺呷哺,特色菜|普通消费,30200
50800,餐饮服务,糕饼店,糕饼店,现代,30300
50900,餐饮服务,甜品店,甜品店,现代,30400
80304,体育休闲服务,娱乐场所,酒吧,现代,30500
50500,餐饮服务,咖啡厅,咖啡厅,现代|小资,30600
50501,餐饮服务,咖啡厅,星巴克咖啡,现代|小资,30600
50502,餐饮服务,咖啡厅,上岛咖啡,现代|小资,30600
50503,餐饮服务,咖啡厅,Pacific Coffee Company,现代|小资,30600
50504,餐饮服务,咖啡厅,巴黎咖啡店,现代|小资,30600
50600,餐饮服务,茶艺馆,茶艺馆,现代,30700
50700,餐饮服务,冷饮店,冷饮店,现代,30800
60000,购物服务,购物相关场所,购物相关场所,,40000
60100,购物服务,商场,商场,,40100
60101,购物服务,商场,购物中心,,40101
60102,购物服务,商场,普通商场,,40101
60600,购物服务,家居建材市场,家居建材市场,家居建材综合,40102
60601,购物服务,家居建材市场,家具建材综合市场,家居建材综合,40102
60602,购物服务,家居建材市场,家具城,家居用品,40102
60603,购物服务,家居建材市场,建材五金市场,建材用品,40102
60604,购物服务,家居建材市场,厨卫市场,厨房用品,40102
60605,购物服务,家居建材市场,布艺市场,纺织用品,40102
60606,购物服务,家居建材市场,灯具瓷器市场,灯具瓷器,40102
60300,购物服务,家电电子卖场,家电电子卖场,家电,40103
60301,购物服务,家电电子卖场,综合家电商场,家电,40103
60302,购物服务,家电电子卖场,国美,专卖店,40103
60303,购物服务,家电电子卖场,大中,专卖店,40103
60304,购物服务,家电电子卖场,苏宁,专卖店,40103
60305,购物服务,家电电子卖场,手机销售,现代,40103
60306,购物服务,家电电子卖场,数码电子,现代,40103
60307,购物服务,家电电子卖场,丰泽,专卖店,40103
60308,购物服务,家电电子卖场,苏宁镭射,专卖店,40103
,,,,,40200
60400,购物服务,超级市场,超市,,40201
60401,购物服务,超级市场,家乐福,精品消费,40201
60402,购物服务,超级市场,沃尔玛,精品消费,40201
60403,购物服务,超级市场,华润,大众消费|仓储式超市,40201
60404,购物服务,超级市场,北京华联,大众消费|仓储式超市,40201
60405,购物服务,超级市场,上海华联,大众消费|仓储式超市,40201
60406,购物服务,超级市场,麦德龙,大众消费|仓储式超市,40201
60407,购物服务,超级市场,乐天玛特,大众消费|仓储式超市,40201
60408,购物服务,超级市场,华堂,大众消费|仓储式超市,40201
60409,购物服务,超级市场,卜蜂莲花,大众消费|仓储式超市,40201
60411,购物服务,超级市场,屈臣氏,精品消费|有WIFI,40201
60413,购物服务,超级市场,惠康超市,大众消费|仓储式超市,40201
60414,购物服务,超级市场,百佳超市,大众消费|仓储式超市,40201
60415,购物服务,超级市场,万宁超市,大众消费|仓储式超市,40201
60200,购物服务,便民商店/便利店,便民商店/便利店,24小时营业|有小食|大众消费|便利超市,40202
60201,购物服务,便民商店/便利店,7-ELEVEn便利店,24小时营业|有小食|大众消费|便利超市,40202
60202,购物服务,便民商店/便利店,OK便利店,24小时营业|有小食|大众消费|便利超市,40202
61100,购物服务,服装鞋帽皮具店,服装鞋帽皮具店,现代,40400
61101,购物服务,服装鞋帽皮具店,品牌服装店,现代,40401
61103,购物服务,服装鞋帽皮具店,品牌皮具店,现代,40402
61104,购物服务,服装鞋帽皮具店,品牌箱包店,现代,40402
61102,购物服务,服装鞋帽皮具店,品牌鞋店,现代,40403
,,,,,40404
60906,购物服务,体育用品店,高尔夫用品店,现代,40405
60907,购物服务,体育用品店,户外用品,现代,40405
61208,购物服务,专卖店,自行车专卖店,专卖店|潮流时尚,40405
60900,购物服务,体育用品店,体育用品店,专卖店|潮流时尚,40406
60901,购物服务,体育用品店,李宁专卖店,专卖店|潮流时尚,40406
60902,购物服务,体育用品店,耐克专卖店,专卖店|潮流时尚,40406
60903,购物服务,体育用品店,阿迪达斯专卖店,专卖店|潮流时尚,40406
60904,购物服务,体育用品店,锐步专卖店,专卖店|潮流时尚,40406
60905,购物服务,体育用品店,彪马专卖店,专卖店|潮流时尚,40406
61210,购物服务,专卖店,烟酒专卖店,专卖店,40407
,,,,,40408
,,,,,40409
61203,购物服务,专卖店,钟表店,专卖店|奢侈,40410
,,,,,40411
61204,购物服务,专卖店,眼镜店,专卖店,40412
61202,购物服务,专卖店,珠宝首饰工艺品,专卖店|奢侈,40413
61400,购物服务,个人用品/化妆品店,其它个人用品店,,40414
61401,购物服务,个人用品/化妆品店,莎莎,平民消费,40414
,,,,,40415
60800,购物服务,文化用品店,文化用品店,专卖店|平民消费,40416
,,,,,40417
61205,购物服务,专卖店,书店,专卖店|平民消费,40418
61206,购物服务,专卖店,音像店,专卖店|普通消费,40418
,,,,,40419
,,,,,40420
,,,,,40421
61207,购物服务,专卖店,儿童用品店,专卖店|普通消费,40422
61209,购物服务,专卖店,礼品饰品店,专卖店|普通消费,40423
61200,购物服务,专卖店,专营店,专卖店,40500
61212,购物服务,专卖店,摄影器材店,专卖店|轻奢,40500
61213,购物服务,专卖店,宝马生活方式,专卖店|轻奢,40500
61214,购物服务,专卖店,土特产专卖店,专卖店|普通消费,40500
61000,购物服务,特色商业街,特色商业街,,40600
61001,购物服务,特色商业街,步行街,,40600
,,,,,40700
60103,购物服务,商场,免税品店,免税店,40800
,,,,,40900
60500,购物服务,花鸟鱼虫市场,花鸟鱼虫市场,大众消费,40901
60501,购物服务,花鸟鱼虫市场,花卉市场,大众消费,40901
60502,购物服务,花鸟鱼虫市场,宠物市场,普通消费,40901
61201,购物服务,专卖店,古玩字画店,专卖店|复古,40902
60703,购物服务,综合市场,农副产品市场,大众消费,40903
60704,购物服务,综合市场,果品市场,大众消费,40903
60705,购物服务,综合市场,蔬菜市场,大众消费,40903
60706,购物服务,综合市场,水产海鲜市场,大众消费,40903
,,,,,40904
60700,购物服务,综合市场,综合市场,大众消费,40905
60701,购物服务,综合市场,小商品市场,大众消费,40905
60702,购物服务,综合市场,旧货市场,大众消费,40905
150000,交通设施服务,交通服务相关,交通服务相关,,50000
150104,交通设施服务,机场相关,飞机场,综合机场,50100
150106,交通设施服务,机场相关,直升机场,直升机场,50100
150102,交通设施服务,机场相关,摆渡车站,摆渡车站,50102
,,,,,50104
150703,交通设施服务,公交车站,机场巴士,,50200
150800,交通设施服务,班车站,班车站,,50200
151100,交通设施服务,出租车,出租车,,50200
150200,交通设施服务,火车站,火车站,,50201
150210,交通设施服务,火车站,货运火车站,,50201
150500,交通设施服务,地铁站,地铁站,,50202
150600,交通设施服务,轻轨站,轻轨站,,50202
150400,交通设施服务,长途汽车站,长途汽车站,,50203
150700,交通设施服务,公交车站,公交车站相关,,50204
150701,交通设施服务,公交车站,旅游专线车站,,50204
150702,交通设施服务,公交车站,普通公交站,,50204
150300,交通设施服务,港口码头,港口码头,,50300
150301,交通设施服务,港口码头,客运港,,50300
150302,交通设施服务,港口码头,车渡口,,50300
150303,交通设施服务,港口码头,人渡口,,50300
150304,交通设施服务,港口码头,货运港口码头,,50300
180300,道路附属设施,服务区,高速服务区,国营,50400
180301,道路附属设施,服务区,高速加油站服务区,国营,50400
180302,道路附属设施,服务区,高速停车区,国营,50400
180200,道路附属设施,收费站,收费站,国营,50500
180201,道路附属设施,收费站,高速收费站,国营,50500
180202,道路附属设施,收费站,国省道收费站,国营,50500
180203,道路附属设施,收费站,桥洞收费站,国营,50500
150501,交通设施服务,地铁站,出入口,,50600
150907,交通设施服务,停车场,停车场入口,,50600
150908,交通设施服务,停车场,停车场出口,,50600
150909,交通设施服务,停车场,停车场出入口,,50600
190304,地名地址信息,交通地名,高速路出口,,50601
190305,地名地址信息,交通地名,高速路入口,,50602
190308,地名地址信息,交通地名,城市快速路出口,,50603
190309,地名地址信息,交通地名,城市快速路入口,,50604
190307,地名地址信息,交通地名,桥,,50700
,,,,,50701
190306,地名地址信息,交通地名,立交桥,,50702
190310,地名地址信息,交通地名,隧道,,50800
150900,交通设施服务,停车场,停车场相关,,50900
150903,交通设施服务,停车场,换乘停车场,,50900
150904,交通设施服务,停车场,公共停车场,,50900
150905,交通设施服务,停车场,专用停车场,,50900
150906,交通设施服务,停车场,路边停车场,,50900
10200,汽车服务,其它能源站,其它能源站,,51000
10100,汽车服务,加油站,加油站,国营,51001
10101,汽车服务,加油站,中国石化,国营,51001
10102,汽车服务,加油站,中国石油,国营,51001
10103,汽车服务,加油站,壳牌,民营,51001
10104,汽车服务,加油站,美孚,民营,51001
10105,汽车服务,加油站,加德士,民营,51001
10107,汽车服务,加油站,东方,民营,51001
10108,汽车服务,加油站,中石油碧辟,国营,51001
10109,汽车服务,加油站,中石化碧辟,国营,51001
10110,汽车服务,加油站,道达尔,民营,51001
10111,汽车服务,加油站,埃索,民营,51001
10112,汽车服务,加油站,中化道达尔,国营,51001
10300,汽车服务,加气站,加气站,国营,51002
11100,汽车服务,充电站,充电站,民营,51003
20000,汽车销售,汽车销售,汽车销售,综合经销,51100
20100,汽车销售,大众特约销售,大众销售,品牌销售,51100
20101,汽车销售,大众特约销售,上海大众销售,品牌销售,51100
20102,汽车销售,大众特约销售,一汽-大众销售,品牌销售,51100
20103,汽车销售,大众特约销售,斯柯达销售,品牌销售,51100
20104,汽车销售,大众特约销售,进口大众销售,品牌销售,51100
20105,汽车销售,大众特约销售,宾利销售,品牌销售,51100
20106,汽车销售,大众特约销售,兰博基尼销售,品牌销售,51100
20200,汽车销售,本田特约销售,本田销售,品牌销售,51100
20201,汽车销售,本田特约销售,广汽本田销售,品牌销售,51100
20202,汽车销售,本田特约销售,东风本田销售,品牌销售,51100
20203,汽车销售,本田特约销售,本田讴歌销售,品牌销售,51100
20300,汽车销售,奥迪特约销售,奥迪销售,品牌销售,51100
20301,汽车销售,奥迪特约销售,一汽-大众奥迪销售,品牌销售,51100
20400,汽车销售,通用特约销售,通用销售,品牌销售,51100
20401,汽车销售,通用特约销售,凯迪拉克销售,品牌销售,51100
20402,汽车销售,通用特约销售,别克销售,品牌销售,51100
20403,汽车销售,通用特约销售,雪佛兰销售,品牌销售,51100
20404,汽车销售,通用特约销售,欧宝销售,品牌销售,51100
20405,汽车销售,通用特约销售,萨博销售,品牌销售,51100
20406,汽车销售,通用特约销售,沃克斯豪尔销售,品牌销售,51100
20407,汽车销售,通用特约销售,土星销售,品牌销售,51100
20408,汽车销售,通用特约销售,大宇销售,品牌销售,51100
20600,汽车销售,宝马特约销售,宝马销售,品牌销售,51100
20601,汽车销售,宝马特约销售,宝马MINI销售,品牌销售,51100
20602,汽车销售,宝马特约销售,劳斯莱斯销售,品牌销售,51100
20700,汽车销售,日产特约销售,日产销售,品牌销售,51100
20701,汽车销售,日产特约销售,东风日产销售,品牌销售,51100
20702,汽车销售,日产特约销售,郑州日产销售,品牌销售,51100
20703,汽车销售,日产特约销售,英菲尼迪销售,品牌销售,51100
20800,汽车销售,雷诺特约销售,雷诺销售,品牌销售,51100
20900,汽车销售,梅赛德斯-奔驰特约销售,梅赛德斯-奔驰销售,品牌销售,51100
20904,汽车销售,梅赛德斯-奔驰特约销售,迈巴赫销售,品牌销售,51100
20905,汽车销售,梅赛德斯-奔驰特约销售,精灵销售,品牌销售,51100
21000,汽车销售,丰田特约销售,丰田销售,品牌销售,51100
21001,汽车销售,丰田特约销售,一汽丰田销售,品牌销售,51100
21002,汽车销售,丰田特约销售,广汽丰田销售,品牌销售,51100
21003,汽车销售,丰田特约销售,雷克萨斯销售,品牌销售,51100
21004,汽车销售,丰田特约销售,大发销售,品牌销售,51100
21100,汽车销售,斯巴鲁特约销售,斯巴鲁销售,品牌销售,51100
21200,汽车销售,标致雪铁龙特约销售,雪铁龙销售,品牌销售,51100
21201,汽车销售,标致雪铁龙特约销售,东风雪铁龙销售,品牌销售,51100
21202,汽车销售,标致雪铁龙特约销售,东风标致销售,品牌销售,51100
21203,汽车销售,标致雪铁龙特约销售,DS销售,品牌销售,51100
21300,汽车销售,三菱特约销售,三菱销售,品牌销售,51100
21301,汽车销售,三菱特约销售,广汽三菱销售,品牌销售,51100
21400,汽车销售,菲亚特约销售,菲亚特销售,品牌销售,51100
21401,汽车销售,菲亚特约销售,阿尔法-罗密欧销售,品牌销售,51100
21500,汽车销售,法拉利特约销售,法拉利销售,品牌销售,51100
21501,汽车销售,法拉利特约销售,玛莎拉蒂销售,品牌销售,51100
21600,汽车销售,现代特约销售,现代销售,品牌销售,51100
21601,汽车销售,现代特约销售,进口现代销售,品牌销售,51100
21602,汽车销售,现代特约销售,北京现代销售,品牌销售,51100
21700,汽车销售,起亚特约销售,起亚销售,品牌销售,51100
21701,汽车销售,起亚特约销售,进口起亚销售,品牌销售,51100
21702,汽车销售,起亚特约销售,东风悦达起亚销售,品牌销售,51100
21800,汽车销售,福特特约销售,福特销售,品牌销售,51100
21802,汽车销售,福特特约销售,马自达销售,品牌销售,51100
21803,汽车销售,福特特约销售,林肯销售,品牌销售,51100
21804,汽车销售,福特特约销售,水星销售,品牌销售,51100
21900,汽车销售,捷豹特约销售,捷豹销售,品牌销售,51100
22000,汽车销售,路虎特约销售,路虎销售,品牌销售,51100
22100,汽车销售,保时捷特约销售,保时捷销售,品牌销售,51100
22200,汽车销售,东风特约销售,东风销售,品牌销售,51100
22300,汽车销售,吉利特约销售,吉利销售,品牌销售,51100
22301,汽车销售,吉利特约销售,沃尔沃汽车销售,品牌销售,51100
22400,汽车销售,奇瑞特约销售,奇瑞销售,品牌销售,51100
22500,汽车销售,克莱斯勒特约销售,克莱斯勒销售,品牌销售,51100
22501,汽车销售,克莱斯勒特约销售,吉普销售,品牌销售,51100
22502,汽车销售,克莱斯勒特约销售,道奇销售,品牌销售,51100
22600,汽车销售,荣威销售,荣威销售,品牌销售,51100
22700,汽车销售,名爵销售,名爵销售,品牌销售,51100
22800,汽车销售,江淮销售,江淮销售,品牌销售,51100
22900,汽车销售,红旗销售,红旗销售,品牌销售,51100
23000,汽车销售,长安汽车销售,长安汽车销售,品牌销售,51100
23100,汽车销售,海马汽车销售,海马汽车销售,品牌销售,51100
23200,汽车销售,北京汽车销售,北京汽车销售,品牌销售,51100
23300,汽车销售,长城汽车销售,长城汽车销售,品牌销售,51100
23301,汽车销售,长城汽车销售,魏派汽车销售,品牌销售,51100
23400,汽车销售,纳智捷销售,纳智捷销售,品牌销售,51100
23500,汽车销售,广汽传祺销售,广汽传祺销售,品牌销售,51100
25000,汽车销售,货车销售,货车销售,品牌销售,51100
25100,汽车销售,东风货车销售,东风货车销售,品牌销售,51100
25200,汽车销售,中国重汽销售,中国重汽销售,品牌销售,51100
25300,汽车销售,一汽解放销售,一汽解放销售,品牌销售,51100
25400,汽车销售,福田卡车销售,福田卡车销售,品牌销售,51100
25500,汽车销售,陕西重汽销售,陕西重汽销售,品牌销售,51100
25600,汽车销售,北奔重汽销售,北奔重汽销售,品牌销售,51100
25700,汽车销售,江淮货车销售,江淮货车销售,品牌销售,51100
25800,汽车销售,华菱星马销售,华菱星马销售,品牌销售,51100
25900,汽车销售,成都大运汽车销售,成都大运汽车销售,品牌销售,51100
26000,汽车销售,梅赛德斯-奔驰卡车销售,梅赛德斯-奔驰卡车销售,品牌销售,51100
26100,汽车销售,德国曼恩销售,德国曼恩销售,品牌销售,51100
26200,汽车销售,斯堪尼亚销售,斯堪尼亚销售,品牌销售,51100
26300,汽车销售,沃尔沃卡车销售,沃尔沃卡车销售,品牌销售,51100
29900,汽车销售,观致销售,观致销售,品牌销售,51100
30000,汽车维修,汽车维修,汽车维修,品牌维修,51200
30100,汽车维修,汽车综合维修,汽车综合维修,品牌维修,51200
30200,汽车维修,大众特约维修,大众维修,品牌维修,51200
30201,汽车维修,大众特约维修,上海大众维修,品牌维修,51200
30202,汽车维修,大众特约维修,一汽-大众维修,品牌维修,51200
30203,汽车维修,大众特约维修,斯柯达维修,品牌维修,51200
30204,汽车维修,大众特约维修,进口大众维修,品牌维修,51200
30205,汽车维修,大众特约维修,宾利维修,品牌维修,51200
30206,汽车维修,大众特约维修,兰博基尼维修,品牌维修,51200
30300,汽车维修,本田特约维修,本田维修,品牌维修,51200
30301,汽车维修,本田特约维修,广汽本田维修,品牌维修,51200
30302,汽车维修,本田特约维修,东风本田维修,品牌维修,51200
30303,汽车维修,本田特约维修,本田讴歌维修,品牌维修,51200
30400,汽车维修,奥迪特约维修,奥迪维修,品牌维修,51200
30401,汽车维修,奥迪特约维修,一汽-大众奥迪维修,品牌维修,51200
30500,汽车维修,通用特约维修,通用维修,品牌维修,51200
30501,汽车维修,通用特约维修,凯迪拉克维修,品牌维修,51200
30502,汽车维修,通用特约维修,别克维修,品牌维修,51200
30503,汽车维修,通用特约维修,雪佛兰维修,品牌维修,51200
30504,汽车维修,通用特约维修,欧宝维修,品牌维修,51200
30505,汽车维修,通用特约维修,萨博维修,品牌维修,51200
30506,汽车维修,通用特约维修,沃克斯豪尔维修,品牌维修,51200
30507,汽车维修,通用特约维修,土星维修,品牌维修,51200
30508,汽车维修,通用特约维修,大宇维修,品牌维修,51200
30700,汽车维修,宝马特约维修,宝马维修,品牌维修,51200
30701,汽车维修,宝马特约维修,宝马MINI维修,品牌维修,51200
30702,汽车维修,宝马特约维修,劳斯莱斯维修,品牌维修,51200
30800,汽车维修,日产特约维修,日产维修,品牌维修,51200
30801,汽车维修,日产特约维修,英菲尼迪维修,品牌维修,51200
30802,汽车维修,日产特约维修,东风日产维修,品牌维修,51200
30803,汽车维修,日产特约维修,郑州日产维修,品牌维修,51200
30900,汽车维修,雷诺特约维修,雷诺维修,品牌维修,51200
31000,汽车维修,梅赛德斯-奔驰特约维修,梅赛德斯-奔驰维修,品牌维修,51200
31004,汽车维修,梅赛德斯-奔驰特约维修,迈巴赫维修,品牌维修,51200
31005,汽车维修,梅赛德斯-奔驰特约维修,精灵维修,品牌维修,51200
31100,汽车维修,丰田特约维修,丰田维修,品牌维修,51200
31101,汽车维修,丰田特约维修,一汽丰田维修,品牌维修,51200
31102,汽车维修,丰田特约维修,广汽丰田维修,品牌维修,51200
31103,汽车维修,丰田特约维修,雷克萨斯维修,品牌维修,51200
31104,汽车维修,丰田特约维修,大发维修,品牌维修,51200
31200,汽车维修,斯巴鲁特约维修,斯巴鲁维修,品牌维修,51200
31300,汽车维修,标致雪铁龙特约维修,雪铁龙维修,品牌维修,51200
31301,汽车维修,标致雪铁龙特约维修,东风标致维修,品牌维修,51200
31302,汽车维修,标致雪铁龙特约维修,东风雪铁龙维修,品牌维修,51200
31303,汽车维修,标致雪铁龙特约维修,DS维修,品牌维修,51200
31400,汽车维修,三菱特约维修,三菱维修,品牌维修,51200
31401,汽车维修,三菱特约维修,广汽三菱维修,品牌维修,51200
31500,汽车维修,菲亚特特约维修,菲亚特维修,品牌维修,51200
31501,汽车维修,菲亚特特约维修,阿尔法-罗密欧维修,品牌维修,51200
31600,汽车维修,法拉利特约维修,法拉利维修,品牌维修,51200
31601,汽车维修,法拉利特约维修,玛莎拉蒂维修,品牌维修,51200
31700,汽车维修,现代特约维修,现代维修,品牌维修,51200
31701,汽车维修,现代特约维修,进口现代维修,品牌维修,51200
31702,汽车维修,现代特约维修,北京现代维修,品牌维修,51200
31800,汽车维修,起亚特约维修,起亚维修,品牌维修,51200
31801,汽车维修,起亚特约维修,进口起亚维修,品牌维修,51200
31802,汽车维修,起亚特约维修,东风悦达起亚维修,品牌维修,51200
31900,汽车维修,福特特约维修,福特维修,品牌维修,51200
31902,汽车维修,福特特约维修,马自达维修,品牌维修,51200
31903,汽车维修,福特特约维修,林肯维修,品牌维修,51200
31904,汽车维修,福特特约维修,水星维修,品牌维修,51200
32000,汽车维修,捷豹特约维修,捷豹维修,品牌维修,51200
32100,汽车维修,路虎特约维修,路虎维修,品牌维修,51200
32200,汽车维修,保时捷特约维修,保时捷维修,品牌维修,51200
